 6000 0.3822403E+04  0.2485312E-18
 6000 0.3807848E+04  0.2517624E-18
 6000 0.3793403E+04  0.2536532E-18
 6000 0.3779068E+04  0.2577746E-18
 6000 0.3764840E+04  0.2767426E-18
 6000 0.3750719E+04  0.2962963E-18
 6000 0.3736704E+04  0.3095254E-18
 6000 0.3722793E+04  0.3173904E-18
 6000 0.3708985E+04  0.3392303E-18
 6000 0.3695280E+04  0.3550202E-18
 6000 0.3681675E+04  0.3660440E-18
 6000 0.3668170E+04  0.3851846E-18
 6000 0.3654763E+04  0.4276165E-18
 6000 0.3641455E+04  0.4608852E-18
 6000 0.3628243E+04  0.4856671E-18
 6000 0.3615126E+04  0.5044754E-18
 6000 0.3602104E+04  0.5237763E-18
 6000 0.3589175E+04  0.5455804E-18
 6000 0.3576339E+04  0.5744217E-18
 6000 0.3563595E+04  0.6004214E-18
 6000 0.3550941E+04  0.6349844E-18
 6000 0.3538376E+04  0.6825784E-18
 6000 0.3525900E+04  0.7212350E-18
 6000 0.3513512E+04  0.7539181E-18
 6000 0.3501210E+04  0.7802244E-18
 6000 0.3488995E+04  0.8081493E-18
 6000 0.3476864E+04  0.8284428E-18
 6000 0.3464817E+04  0.8662288E-18
 6000 0.3452854E+04  0.9072641E-18
 6000 0.3440972E+04  0.9620579E-18
 6000 0.3429173E+04  0.1005518E-17
 6000 0.3417454E+04  0.1070546E-17
 6000 0.3405814E+04  0.1134744E-17
 6000 0.3394254E+04  0.1196874E-17
 6000 0.3382772E+04  0.1228259E-17
 6000 0.3371368E+04  0.1265881E-17
 6000 0.3360040E+04  0.1300177E-17
 6000 0.3348788E+04  0.1382497E-17
 6000 0.3337611E+04  0.1482228E-17
 6000 0.3326508E+04  0.1576368E-17
 6000 0.3315479E+04  0.1629339E-17
 6000 0.3304523E+04  0.1664329E-17
 6000 0.3293639E+04  0.1710773E-17
 6000 0.3282827E+04  0.1783481E-17
 6000 0.3272085E+04  0.1874993E-17
 6000 0.3261413E+04  0.1950791E-17
 6000 0.3250811E+04  0.1997067E-17
 6000 0.3240278E+04  0.2018372E-17
 6000 0.3229812E+04  0.2120926E-17
 6000 0.3219414E+04  0.2292638E-17
 6000 0.3209083E+04  0.2557515E-17
 6000 0.3198817E+04  0.2721289E-17
 6000 0.3188618E+04  0.2786995E-17
 6000 0.3178483E+04  0.2900546E-17
 6000 0.3168412E+04  0.3261419E-17
 6000 0.3158405E+04  0.3364017E-17
 6000 0.3148461E+04  0.3277977E-17
 6000 0.3138579E+04  0.3493957E-17
 6000 0.3128759E+04  0.4047905E-17
 6000 0.3119001E+04  0.4266691E-17
 6000 0.3109303E+04  0.4438038E-17
 6000 0.3099665E+04  0.4668503E-17
 6000 0.3090087E+04  0.5147239E-17
 6000 0.3080567E+04  0.5536035E-17
 6000 0.3071107E+04  0.5768635E-17
 6000 0.3061704E+04  0.6380107E-17
 6000 0.3052358E+04  0.7240462E-17
 6000 0.3043070E+04  0.7787374E-17
 6000 0.3033838E+04  0.8535093E-17
 6000 0.3024661E+04  0.9816854E-17
 6000 0.3015540E+04  0.1057589E-16
 6000 0.3006474E+04  0.1168527E-16
 6000 0.2997462E+04  0.1280251E-16
 6000 0.2988505E+04  0.1399758E-16
 6000 0.2979600E+04  0.1532621E-16
 6000 0.2970748E+04  0.1781409E-16
 6000 0.2961949E+04  0.1954757E-16
 6000 0.2953202E+04  0.2326137E-16
 6000 0.2944506E+04  0.2657828E-16
 6000 0.2935861E+04  0.3184000E-16
 6000 0.2927267E+04  0.3481460E-16
 6000 0.2918724E+04  0.4295606E-16
 6000 0.2910229E+04  0.5078948E-16
 6000 0.2901785E+04  0.6668169E-16
 8000 0.4298939E+04  0.1452519E-19
 8000 0.4280537E+04  0.2528524E-19
 8000 0.4262293E+04  0.3805799E-19
 8000 0.4244203E+04  0.4620401E-19
 8000 0.4226265E+04  0.5834801E-19
 8000 0.4208479E+04  0.7625625E-19
 8000 0.4190842E+04  0.9625464E-19
 8000 0.4173352E+04  0.1166401E-18
 8000 0.4156008E+04  0.1347718E-18
 8000 0.4138807E+04  0.1548585E-18
 8000 0.4121748E+04  0.1763453E-18
 8000 0.4104829E+04  0.1922522E-18
 8000 0.4088048E+04  0.2062685E-18
 8000 0.4071404E+04  0.2182560E-18
 8000 0.4054895E+04  0.2248375E-18
 8000 0.4038519E+04  0.2327211E-18
 8000 0.4022275E+04  0.2418672E-18
 8000 0.4006161E+04  0.2508140E-18
 8000 0.3990176E+04  0.2623382E-18
 8000 0.3974318E+04  0.2728382E-18
 8000 0.3958585E+04  0.2888926E-18
 8000 0.3942976E+04  0.3168721E-18
 8000 0.3927490E+04  0.3481071E-18
 8000 0.3912125E+04  0.3830817E-18
 8000 0.3896880E+04  0.4202288E-18
 8000 0.3881754E+04  0.4515832E-18
 8000 0.3866744E+04  0.4811923E-18
 8000 0.3851850E+04  0.5002404E-18
 8000 0.3837070E+04  0.4993933E-18
 8000 0.3822403E+04  0.4926577E-18
 8000 0.3807848E+04  0.4845768E-18
 8000 0.3793403E+04  0.4809756E-18
 8000 0.3779068E+04  0.4986801E-18
 8000 0.3764840E+04  0.5335469E-18
 8000 0.3750719E+04  0.5747472E-18
 8000 0.3736704E+04  0.6096409E-18
 8000 0.3722793E+04  0.6282238E-18
 8000 0.3708985E+04  0.6472300E-18
 8000 0.3695280E+04  0.6677197E-18
 8000 0.3681675E+04  0.6768054E-18
 8000 0.3668170E+04  0.6924200E-18
 8000 0.3654763E+04  0.7233030E-18
 8000 0.3641455E+04  0.7689986E-18
 8000 0.3628243E+04  0.8354628E-18
 8000 0.3615126E+04  0.8989175E-18
 8000 0.3602104E+04  0.9461041E-18
 8000 0.3589175E+04  0.9818674E-18
 8000 0.3576339E+04  0.9933654E-18
 8000 0.3563595E+04  0.9971900E-18
 8000 0.3550941E+04  0.1016575E-17
 8000 0.3538376E+04  0.1053111E-17
 8000 0.3525900E+04  0.1128846E-17
 8000 0.3513512E+04  0.1231215E-17
 8000 0.3501210E+04  0.1319030E-17
 8000 0.3488995E+04  0.1384877E-17
 8000 0.3476864E+04  0.1407819E-17
 8000 0.3464817E+04  0.1394646E-17
 8000 0.3452854E+04  0.1395515E-17
 8000 0.3440972E+04  0.1419397E-17
 8000 0.3429173E+04  0.1490446E-17
 8000 0.3417454E+04  0.1619375E-17
 8000 0.3405814E+04  0.1740122E-17
 8000 0.3394254E+04  0.1833962E-17
 8000 0.3382772E+04  0.1899177E-17
 8000 0.3371368E+04  0.1916440E-17
 8000 0.3360040E+04  0.1938833E-17
 8000 0.3348788E+04  0.1987046E-17
 8000 0.3337611E+04  0.2064425E-17
 8000 0.3326508E+04  0.2216041E-17
 8000 0.3315479E+04  0.2370245E-17
 8000 0.3304523E+04  0.2448436E-17
 8000 0.3293639E+04  0.2461941E-17
 8000 0.3282827E+04  0.2422240E-17
 8000 0.3272085E+04  0.2472409E-17
 8000 0.3261413E+04  0.2702928E-17
 8000 0.3250811E+04  0.2932295E-17
 8000 0.3240278E+04  0.3023822E-17
 8000 0.3229812E+04  0.2970924E-17
 8000 0.3219414E+04  0.2921703E-17
 8000 0.3209083E+04  0.3119448E-17
 8000 0.3198817E+04  0.3398794E-17
 8000 0.3188618E+04  0.3546768E-17
 8000 0.3178483E+04  0.3761258E-17
 8000 0.3168412E+04  0.4034818E-17
 8000 0.3158405E+04  0.4263461E-17
 8000 0.3148461E+04  0.4571159E-17
 8000 0.3138579E+04  0.4884813E-17
 8000 0.3128759E+04  0.5117225E-17
 8000 0.3119001E+04  0.5236588E-17
 8000 0.3109303E+04  0.5292534E-17
 8000 0.3099665E+04  0.5683610E-17
 8000 0.3090087E+04  0.6257505E-17
 8000 0.3080567E+04  0.6617693E-17
 8000 0.3071107E+04  0.7138749E-17
 8000 0.3061704E+04  0.7742929E-17
 8000 0.3052358E+04  0.8249781E-17
 8000 0.3043070E+04  0.9121333E-17
 8000 0.3033838E+04  0.9979505E-17
 8000 0.3024661E+04  0.1082598E-16
 8000 0.3015540E+04  0.1219431E-16
 8000 0.3006474E+04  0.1333012E-16
 8000 0.2997462E+04  0.1453727E-16
 8000 0.2988505E+04  0.1609567E-16
 8000 0.2979600E+04  0.1697851E-16
 8000 0.2970748E+04  0.1894335E-16
 8000 0.2961949E+04  0.2213795E-16
 8000 0.2953202E+04  0.2471598E-16
 8000 0.2944506E+04  0.2920159E-16
 8000 0.2935861E+04  0.3342169E-16
 8000 0.2927267E+04  0.3644010E-16
 8000 0.2918724E+04  0.4626955E-16
 8000 0.2910229E+04  0.5481402E-16
 8000 0.2901785E+04  0.6331354E-16
12000 0.4393373E+04  0.2230624E-19
12000 0.4374156E+04  0.3813918E-19
12000 0.4355106E+04  0.5188453E-19
12000 0.4336222E+04  0.6313841E-19
