# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 5 vector paths
# T=4000 K; original profile calculation covers n_He=1e21--1e23 cm^-3
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+21 3862.68080993 1.1711362719e-17
1.00000000e+21 3866.26807932 1.2286714547e-17
1.00000000e+21 3870.78110010 1.3385995002e-17
1.00000000e+21 3878.78495332 1.5521595938e-17
1.00000000e+21 3880.77145700 1.5800814060e-17
1.00000000e+21 3883.47155372 1.5897195872e-17
1.00000000e+21 3886.98167552 1.5588241015e-17
1.00000000e+21 3892.38186897 1.4938593789e-17
1.00000000e+21 3895.37126177 1.4973734536e-17
1.00000000e+21 3898.88138850 1.5648682579e-17
1.00000000e+21 3909.58534337 1.9144887185e-17
1.00000000e+21 3911.47541009 1.9459677671e-17
1.00000000e+21 3914.48408733 1.9719593453e-17
1.00000000e+21 3919.38283622 1.9804263472e-17
1.00000000e+21 3923.06653763 1.9905797748e-17
1.00000000e+21 3926.88524487 2.0244288610e-17
1.00000000e+21 3929.77820565 2.0754240405e-17
1.00000000e+21 3934.27193707 2.2058573716e-17
1.00000000e+21 3939.47926647 2.3610720037e-17
1.00000000e+21 3942.08293117 2.4058719403e-17
1.00000000e+21 3945.57376853 2.4215511043e-17
1.00000000e+21 3948.08100121 2.4309403828e-17
1.00000000e+21 3950.97396198 2.4798062903e-17
1.00000000e+21 3960.17357824 2.8012956219e-17
1.00000000e+21 3964.06942814 2.8203311889e-17
1.00000000e+21 3967.48312284 2.8211109148e-17
1.00000000e+21 3969.87463906 2.8446025969e-17
1.00000000e+21 3973.57762491 2.9499042211e-17
1.00000000e+21 3986.07521448 3.4599961906e-17
1.00000000e+21 3989.58534120 3.5227250100e-17
1.00000000e+21 3993.38476401 3.5437230411e-17
1.00000000e+21 3995.58341124 3.5609068486e-17
1.00000000e+21 3998.28350797 3.6214587765e-17
1.00000000e+21 4002.97010344 3.9253423894e-17
1.00000000e+21 4005.76663219 4.1034131629e-17
1.00000000e+21 4008.08100081 4.1911086407e-17
1.00000000e+21 4012.57473223 4.1783845073e-17
1.00000000e+21 4014.27193490 4.1812729863e-17
1.00000000e+21 4017.87849366 4.3396526919e-17
1.00000000e+21 4023.68369964 4.7292243256e-17
1.00000000e+21 4028.27386309 4.8799497969e-17
1.00000000e+21 4031.37897728 4.9691088415e-17
1.00000000e+21 4034.27193806 5.1119127509e-17
1.00000000e+21 4038.66923745 5.3868207660e-17
1.00000000e+21 4040.77145266 5.4648095270e-17
1.00000000e+21 4044.66730749 5.5515947715e-17
1.00000000e+21 4047.17454016 5.6561510665e-17
1.00000000e+21 4053.17261020 6.0207675262e-17
1.00000000e+21 4057.47347757 6.2834660126e-17
1.00000000e+21 4061.67791784 6.5967150837e-17
1.00000000e+21 4063.87656507 6.6996238492e-17
1.00000000e+21 4066.67309383 6.7994373625e-17
1.00000000e+21 4071.66826981 7.2327543570e-17
1.00000000e+21 4074.36836653 7.4498725976e-17
1.00000000e+21 4078.78495529 7.7000685550e-17
1.00000000e+21 4081.77434809 7.8951235851e-17
1.00000000e+21 4084.57087684 8.1377472728e-17
1.00000000e+21 4088.37029965 8.4483267112e-17
1.00000000e+21 4092.16971753 8.7792491417e-17
1.00000000e+21 4094.07907361 9.0178298990e-17
1.00000000e+21 4098.88138554 9.6270537279e-17
1.00000000e+21 4101.46576581 9.8600143567e-17
1.00000000e+21 4104.57087507 1.0175670132e-16
1.00000000e+21 4109.08389585 1.0641694617e-16
1.00000000e+21 4110.68466650 1.0858611806e-16
1.00000000e+21 4116.77916856 1.1743780146e-16
1.00000000e+21 4130.18322016 1.3801171731e-16
1.00000000e+21 4136.27772222 1.5065070796e-16
1.00000000e+21 4145.07232101 1.6996994734e-16
1.00000000e+21 4162.46865947 2.2970183341e-16
1.00000000e+21 4175.08196550 2.9462370936e-16
1.00000000e+21 4183.97299631 3.5505866410e-16
1.00000000e+21 4189.27675774 4.0437351923e-16
1.00000000e+21 4196.56701791 5.1203978751e-16
1.00000000e+21 4202.37222389 6.7070355604e-16
1.00000000e+21 4203.97299947 7.4354715937e-16
1.00000000e+21 4209.08389191 1.0938444742e-15
1.00000000e+21 4210.87753153 1.3093230112e-15
1.00000000e+21 4217.28061411 2.8865836124e-15
1.00000000e+21 4219.98071083 4.5146266011e-15
1.00000000e+21 4221.27290097 5.7483578711e-15
1.00000000e+21 4223.87656567 9.0190762156e-15
1.00000000e+21 4227.77242050 1.5096335436e-14
1.00000000e+21 4227.96528455 1.4874725651e-14
1.00000000e+21 4231.37897432 1.1050892270e-14
1.00000000e+21 4233.86692256 7.4149465216e-15
1.00000000e+21 4238.57280247 3.2495611300e-15
1.00000000e+21 4241.36933122 2.2477121234e-15
1.00000000e+21 4243.56798338 1.7195473849e-15
1.00000000e+21 4249.87463886 9.1876674180e-16
1.00000000e+21 4258.07135613 5.4504776986e-16
1.00000000e+21 4263.87656705 4.2067777684e-16
1.00000000e+21 4273.48119584 3.1175793902e-16
1.00000000e+21 4289.46962277 1.9692357748e-16
1.00000000e+21 4302.27579285 1.3039054347e-16
1.00000000e+21 4309.21889872 1.0144776616e-16
1.00000000e+21 4317.18418307 7.6512693914e-17
1.00000000e+21 4337.10703863 3.9552948619e-17
1.00000000e+21 4352.11186087 2.5765846361e-17
1.00000000e+21 4358.12921535 2.1504680914e-17
1.00000000e+21 4368.17743047 1.6579362105e-17
1.00000000e+21 4376.21986242 1.3224173795e-17
1.00000000e+21 4392.38186897 8.2612698188e-18
1.00000000e+21 4396.43201406 7.6428142403e-18
1.00000000e+21 4403.51012081 6.8107238033e-18
1.00000000e+21 4410.60752186 5.8122693830e-18
1.00000000e+21 4418.74638090 4.9444459717e-18
1.00000000e+21 4424.86017233 4.5440486040e-18
1.00000000e+21 4429.95178034 4.2441537979e-18
1.00000000e+21 4439.15139660 3.7003883215e-18
1.00000000e+21 4445.28447246 3.4035549916e-18
1.00000000e+21 4450.39536983 3.0926881613e-18
1.00000000e+21 4455.52555163 2.8394962079e-18
1.00000000e+21 4464.78302612 2.4956223780e-18
1.00000000e+21 4469.91320792 2.2733309279e-18
1.00000000e+21 4484.35872244 1.7618883504e-18
1.00000000e+21 4487.44454727 1.7088859637e-18
1.00000000e+21 4489.50819361 1.6789200347e-18
1.00000000e+21 4494.67694921 1.5453099537e-18
1.00000000e+21 4499.86499418 1.4268612935e-18
1.00000000e+21 4519.59498076 1.1237255626e-18
1.00000000e+21 4523.76084724 1.0783831831e-18
1.00000000e+21 4527.92670878 1.0478234518e-18
1.00000000e+21 4532.11185969 1.0208068348e-18
1.00000000e+21 4539.42140430 9.6124288349e-19
1.00000000e+21 4547.79170611 8.8584744084e-19
1.00000000e+21 4555.12053515 7.8385854312e-19
1.00000000e+21 4559.30568606 7.5514649621e-19
1.00000000e+21 4563.51012141 7.5975273911e-19
1.00000000e+21 4567.71455675 7.3020596917e-19
1.00000000e+21 4576.14271680 6.1801128254e-19
1.00000000e+21 4584.57087684 4.9677354311e-19
1.00000000e+21 4594.09835804 4.3103626037e-19
1.00000000e+21 4598.32208275 3.8837897146e-19
1.00000000e+21 4607.86884838 2.9114252831e-19
1.00000000e+21 4611.05110524 2.6345611822e-19
1.00000000e+21 4616.35486666 2.3448120979e-19
1.00000000e+21 4622.73866480 2.0739903100e-19
1.00000000e+21 4627.00096331 2.0261083115e-19
1.00000000e+21 4631.26325688 1.8543310479e-19
1.00000000e+21 4635.52555045 1.5752843062e-19
5.00000000e+21 3060.98360923 2.6280151189e-20
5.00000000e+21 3061.98649835 9.5027903345e-20
5.00000000e+21 3062.97010797 1.2938524625e-19
5.00000000e+21 3064.97589116 1.3184024966e-19
5.00000000e+21 3067.98457332 1.3833636867e-19
5.00000000e+21 3086.48023293 1.9853594164e-19
5.00000000e+21 3090.47251486 2.1005302271e-19
5.00000000e+21 3094.48409108 2.1909691394e-19
5.00000000e+21 3097.97492844 2.2446077765e-19
5.00000000e+21 3100.98360568 2.2723885454e-19
5.00000000e+21 3107.48312521 2.3049688576e-19
5.00000000e+21 3114.48408930 2.3470817542e-19
5.00000000e+21 3118.47637616 2.3886430492e-19
5.00000000e+21 3122.97010758 2.4627287015e-19
5.00000000e+21 3135.48698158 2.6968223460e-19
5.00000000e+21 3144.97589392 2.8379269102e-19
5.00000000e+21 3152.47830257 2.9519434629e-19
5.00000000e+21 3155.48697981 3.0292319549e-19
5.00000000e+21 3159.47926667 3.1846464580e-19
5.00000000e+21 3166.98168025 3.6054775001e-19
5.00000000e+21 3175.96914309 4.1593705555e-19
5.00000000e+21 3183.47155175 4.6066514286e-19
5.00000000e+21 3188.98746166 4.8792754526e-19
5.00000000e+21 3193.98264257 5.0746040645e-19
5.00000000e+21 3205.47733808 5.5339752027e-19
5.00000000e+21 3212.47830218 5.9168265557e-19
5.00000000e+21 3224.47444718 6.6406237870e-19
5.00000000e+21 3231.97685584 7.0083897050e-19
5.00000000e+21 3239.47926943 7.4057292693e-19
5.00000000e+21 3245.97878403 7.8831297456e-19
5.00000000e+21 3267.98457036 1.0033225359e-18
5.00000000e+21 3279.98071537 1.1362193514e-18
5.00000000e+21 3313.98264178 1.5663829691e-18
5.00000000e+21 3338.97782092 2.0149380469e-18
5.00000000e+21 3365.97878324 2.6953318043e-18
5.00000000e+21 3389.46962376 3.4633452872e-18
5.00000000e+21 3411.47541009 4.3588883533e-18
5.00000000e+21 3421.48505142 4.7666282963e-18
5.00000000e+21 3429.46962514 5.0550037052e-18
5.00000000e+21 3436.47058923 5.2668216739e-18
5.00000000e+21 3444.97589194 5.4829665530e-18
5.00000000e+21 3462.46865750 5.8866463686e-18
5.00000000e+21 3489.97106931 6.5821435397e-18
5.00000000e+21 3501.08003672 6.9890438079e-18
5.00000000e+21 3516.58630845 7.6947492452e-18
5.00000000e+21 3528.17743599 8.2293614414e-18
5.00000000e+21 3538.78495391 8.6551560648e-18
5.00000000e+21 3551.97685702 9.2220173028e-18
5.00000000e+21 3562.27579443 9.8287207900e-18
5.00000000e+21 3591.47540891 1.1984818066e-17
5.00000000e+21 3619.07425275 1.4074707343e-17
5.00000000e+21 3649.58534180 1.7437193335e-17
5.00000000e+21 3674.48408891 2.0325592176e-17
5.00000000e+21 3686.07521645 2.2162473807e-17
5.00000000e+21 3697.06846740 2.3926079770e-17
5.00000000e+21 3708.77531140 2.5606093802e-17
5.00000000e+21 3719.88427881 2.7381357771e-17
5.00000000e+21 3729.46962317 2.9340464693e-17
5.00000000e+21 3744.06942794 3.2644161369e-17
