# Mg I 2852-A absolute cross sections recovered from Allard et al. 2018 A&A 619 A152 Fig. 6 vector paths
# T=6000 K; n_He=1e21,5e21,1e22 cm^-3; figure-resolution bridge
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+22 2613.60000000 4.9338031530e-17
1.00000000e+22 2614.20000000 5.0031373340e-17
1.00000000e+22 2615.00000000 5.0646035439e-17
1.00000000e+22 2615.60000000 5.1357758480e-17
1.00000000e+22 2616.40000000 5.2079483286e-17
1.00000000e+22 2617.00000000 5.2719307508e-17
1.00000000e+22 2617.60000000 5.3460166009e-17
1.00000000e+22 2618.40000000 5.4116952655e-17
1.00000000e+22 2619.00000000 5.4781808274e-17
1.00000000e+22 2619.80000000 5.5551650867e-17
1.00000000e+22 2620.40000000 5.6234132519e-17
1.00000000e+22 2621.20000000 5.7024384461e-17
1.00000000e+22 2621.80000000 5.7724959430e-17
1.00000000e+22 2622.40000000 5.8434141337e-17
1.00000000e+22 2623.20000000 5.9152035922e-17
1.00000000e+22 2623.80000000 5.9983292832e-17
1.00000000e+22 2624.60000000 6.0720219569e-17
1.00000000e+22 2625.20000000 6.1466199844e-17
1.00000000e+22 2626.00000000 6.2221344884e-17
1.00000000e+22 2626.60000000 6.2985767284e-17
1.00000000e+22 2627.40000000 6.3759581021e-17
1.00000000e+22 2628.00000000 6.4542901472e-17
1.00000000e+22 2628.80000000 6.5449915609e-17
1.00000000e+22 2629.40000000 6.6254002722e-17
1.00000000e+22 2630.00000000 6.7067968473e-17
1.00000000e+22 2630.80000000 6.7891934228e-17
1.00000000e+22 2631.40000000 6.8726022842e-17
1.00000000e+22 2632.20000000 6.9449107138e-17
1.00000000e+22 2632.80000000 7.0302326451e-17
1.00000000e+22 2633.60000000 7.1166028018e-17
1.00000000e+22 2634.20000000 7.2040340620e-17
1.00000000e+22 2635.00000000 7.2925394618e-17
1.00000000e+22 2635.60000000 7.3821321976e-17
1.00000000e+22 2636.40000000 7.4728256280e-17
1.00000000e+22 2637.00000000 7.5646332755e-17
1.00000000e+22 2637.80000000 7.6442227425e-17
1.00000000e+22 2638.40000000 7.7381360950e-17
1.00000000e+22 2639.20000000 7.8332032231e-17
1.00000000e+22 2639.80000000 7.9294383015e-17
1.00000000e+22 2640.40000000 8.0128659767e-17
1.00000000e+22 2641.20000000 8.1113083079e-17
