# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 6 vector paths
# n_He=5e21 cm^-3; T=3000,4000,5000,6000 K
# temperature_kelvin wavelength_vacuum_angstrom cross_section_cm2
6000.0 4201.68130150 1.1951386522e-15
6000.0 4219.48621386 1.7722979409e-15
6000.0 4222.37918370 1.8519897612e-15
6000.0 4225.18010383 1.9126363611e-15
6000.0 4228.37551984 1.9552843923e-15
6000.0 4231.78133568 1.9629652325e-15
6000.0 4235.47644582 1.9258039676e-15
6000.0 4239.38195577 1.8422587146e-15
6000.0 4243.48471031 1.7203114341e-15
6000.0 4248.17921204 1.5583601945e-15
6000.0 4254.58319595 1.3347881442e-15
6000.0 4274.87343039 8.0741716639e-16
6000.0 4293.17803687 5.4721890614e-16
6000.0 4314.20466564 3.6216106514e-16
6000.0 4352.11571637 1.7058298084e-16
6000.0 4364.14784094 1.3499184188e-16
6000.0 4385.30596834 9.1871269603e-17
6000.0 4398.45582789 7.3472947974e-17
6000.0 4418.75921420 5.2967276702e-17
6000.0 4447.33386563 3.4273459572e-17
6000.0 4462.71920187 2.7524205107e-17
6000.0 4478.17029079 2.2425917700e-17
6000.0 4494.68651390 1.8359497271e-17
6000.0 4510.24280105 1.5450525910e-17
6000.0 4579.30587500 7.4625103197e-18
6000.0 4602.56797711 5.7007596378e-18
6000.0 4624.88329513 4.3538563497e-18
6000.0 4653.72094046 3.0635078619e-18
6000.0 4676.27295199 2.3578300385e-18
6000.0 4689.21241508 2.0502254973e-18
6000.0 4701.09988913 1.8216102051e-18
6000.0 4718.45770817 1.5579784777e-18
6000.0 4741.32531775 1.2924642155e-18
6000.0 4759.93237041 1.1252259682e-18
6000.0 4778.59202386 9.9243271417e-19
6000.0 4800.64434127 8.5695362431e-19
