obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"493.8703"	""	"1.33e+03"	"9.72e-06"	"-4.711"	D+	"92790.51"	"113033.09"	"2p6.5s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	""	
""	"493.9396"	""	"2.11e+03"	"7.73e-06"	"-4.811"	D+	"92790.51"	"113030.25"	"2p6.5s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"c31"	""	
"506.8937"	"506.8938"	"4"	"3.97e+05"	"1.02e-03"	"-2.213"	B	"93310.59"	"113033.09"	"2p6.4d"	"2D"	"5/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	"L7414"	
""	"506.9072"	""	"4.43e+04"	"1.71e-04"	"-3.165"	C+	"93311.11"	"113033.09"	"2p6.4d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	""	
"506.9802"	"506.9802"	"3"	"4.35e+05"	"8.39e-04"	"-2.474"	B	"93311.11"	"113030.25"	"2p6.4d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"1/2"		"c31"	"L7414"	
""	"515.7628"	""	"4.37e+05"	"3.49e-03"	"-2.156"	D	"97455.12"	"116838.48"	"2p6.5p"	"2P*"	"1/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
""	"516.1302"	""	"8.73e+04"	"3.49e-04"	"-2.855"	E	"97468.92"	"116838.48"	"2p6.5p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
""	"516.1310"	""	"5.24e+05"	"3.14e-03"	"-1.901"	D	"97468.92"	"116838.45"	"2p6.5p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
"526.4215"	"526.4220"	"8"	"1.27e+07"	"7.05e-02"	"-0.374"	B+	"93310.59"	"112301.47"	"2p6.4d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"7/2"		"c31"	"L7414"	
""	"526.4220"	""	"8.47e+05"	"3.52e-03"	"-1.675"	B	"93310.59"	"112301.47"	"2p6.4d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"5/2"		"c31"	""	
"526.4368"	"526.4364"	"7"	"1.19e+07"	"7.40e-02"	"-0.529"	B+	"93311.11"	"112301.47"	"2p6.4d"	"2D"	"3/2"	"2p6.7f"	"2F*"	"5/2"		"c31"	"L7414"	
""	"543.4034"	""	"1.16e+04"	"5.15e-05"	"-3.510"	C	"93799.63"	"112197.05"	"2p6.4f"	"2F*"	"5/2"	"2p6.7d"	"2D"	"5/2"		"c31"	""	
"543.4039"	"543.3999"	"4*"	"2.45e+05"	"7.24e-04"	"-2.362"	B	"93799.63"	"112197.17"	"2p6.4f"	"2F*"	"5/2"	"2p6.7d"	"2D"	"3/2"		"c31"	"L7414"	
"543.4039"	"543.4070"	"4*"	"2.33e+05"	"7.74e-04"	"-2.208"	B	"93799.75"	"112197.05"	"2p6.4f"	"2F*"	"7/2"	"2p6.7d"	"2D"	"5/2"		"c31"	"L7414"	
"545.1259"	"545.1250"	"1"	"1.03e+06"	"9.14e-03"	"-1.738"	B	"97455.12"	"115794.44"	"2p6.5p"	"2P*"	"1/2"	"2p6.9d"	"2D"	"3/2"		"c31"	"L7414"	
""	"545.5355"	""	"2.03e+05"	"9.04e-04"	"-2.442"	B	"97468.92"	"115794.44"	"2p6.5p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"c31"	""	
""	"545.5370"	""	"1.22e+06"	"8.17e-03"	"-1.486"	B+	"97468.92"	"115794.39"	"2p6.5p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
"546.0019"	"546.0018"	"1"	"1.11e+06"	"4.98e-03"	"-2.002"	B+	"97455.12"	"115764.99"	"2p6.5p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L7414"	
"546.4136"	"546.4136"	"2"	"2.22e+06"	"4.97e-03"	"-1.702"	B+	"97468.92"	"115764.99"	"2p6.5p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L7414"	
""	"573.977"	""	"5.25e+03"	"5.19e-05"	"-3.984"	C	"92790.51"	"110207.99"	"2p6.5s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"c31"	""	
""	"574.122"	""	"3.67e+03"	"1.81e-05"	"-4.441"	C	"92790.51"	"110203.58"	"2p6.5s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"c31"	""	
"591.6429"	"591.6431"	"7"	"6.42e+05"	"2.25e-03"	"-1.870"	B	"93310.59"	"110207.99"	"2p6.4d"	"2D"	"5/2"	"2p6.7p"	"2P*"	"3/2"		"c31"	"L7414"	
""	"591.661"	""	"7.16e+04"	"3.76e-04"	"-2.823"	C+	"93311.11"	"110207.99"	"2p6.4d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"3/2"		"c31"	""	
"591.8158"	"591.8158"	"6"	"7.04e+05"	"1.85e-03"	"-2.131"	B	"93311.11"	"110203.58"	"2p6.4d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"1/2"		"c31"	"L7414"	
"592.3366"	"592.3365"	"3"	"1.40e+06"	"1.47e-02"	"-1.532"	B+	"97455.12"	"114332.74"	"2p6.5p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"		"c31"	"L7414"	
""	"592.821"	""	"2.76e+05"	"1.46e-03"	"-2.234"	B	"97468.92"	"114332.74"	"2p6.5p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"c31"	""	
"592.8233"	"592.8233"	"4"	"1.66e+06"	"1.32e-02"	"-1.277"	B+	"97468.92"	"114332.68"	"2p6.5p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"		"c31"	"L7414"	
"593.8629"	"593.8629"	"3"	"1.36e+06"	"7.18e-03"	"-1.843"	B	"97455.12"	"114289.36"	"2p6.5p"	"2P*"	"1/2"	"2p6.9s"	"2S"	"1/2"		"c31"	"L7414"	
"594.3499"	"594.3501"	"4"	"2.71e+06"	"7.17e-03"	"-1.542"	B+	"97468.92"	"114289.36"	"2p6.5p"	"2P*"	"3/2"	"2p6.9s"	"2S"	"1/2"		"c31"	"L7414"	
"634.6737"	"634.6742"	"10"	"2.20e+07"	"1.77e-01"	"0.026"	A	"93310.59"	"109062.35"	"2p6.4d"	"2D"	"5/2"	"2p6.6f"	"2F*"	"7/2"		"c31"	"L7414"	
""	"634.675"	""	"1.47e+06"	"8.86e-03"	"-1.274"	A	"93310.59"	"109062.32"	"2p6.4d"	"2D"	"5/2"	"2p6.6f"	"2F*"	"5/2"		"c31"	""	
"634.6962"	"634.6964"	"9"	"2.05e+07"	"1.86e-01"	"-0.128"	A	"93311.11"	"109062.32"	"2p6.4d"	"2D"	"3/2"	"2p6.6f"	"2F*"	"5/2"		"c31"	"L7414"	
"662.0440"	"662.0438"	"5"	"4.61e+05"	"2.02e-03"	"-1.916"	B+	"93799.63"	"108900.20"	"2p6.4f"	"2F*"	"5/2"	"2p6.6d"	"2D"	"3/2"		"c31"	"L7414"	
""	"662.052"	""	"2.19e+04"	"1.44e-04"	"-3.063"	B	"93799.63"	"108900.02"	"2p6.4f"	"2F*"	"5/2"	"2p6.6d"	"2D"	"5/2"		"c31"	""	
"662.0569"	"662.0570"	"6"	"4.37e+05"	"2.15e-03"	"-1.764"	B+	"93799.75"	"108900.02"	"2p6.4f"	"2F*"	"7/2"	"2p6.6d"	"2D"	"5/2"		"c31"	"L7414"	
"678.1451"	"678.1445"	"7"	"2.49e+06"	"3.43e-02"	"-1.164"	B+	"97455.12"	"112197.17"	"2p6.5p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"c31"	"L7414"	
""	"678.780"	""	"4.92e+05"	"3.40e-03"	"-1.866"	B	"97468.92"	"112197.17"	"2p6.5p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"c31"	""	
"678.7851"	"678.7855"	"8"	"2.96e+06"	"3.07e-02"	"-0.911"	B+	"97468.92"	"112197.05"	"2p6.5p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"c31"	"L7414"	
"681.2860"	"681.2857"	"7"	"2.11e+06"	"1.47e-02"	"-1.532"	B+	"97455.12"	"112129.20"	"2p6.5p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"c31"	"L7414"	
"681.9270"	"681.9270"	"8"	"4.21e+06"	"1.47e-02"	"-1.231"	B+	"97468.92"	"112129.20"	"2p6.5p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"c31"	"L7414"	
""	"760.327"	""	"1.17e+05"	"6.74e-04"	"-2.393"	D	"103689.86"	"116838.48"	"2p6.5f"	"2F*"	"5/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
""	"760.329"	""	"5.55e+03"	"4.81e-05"	"-3.540"	E	"103689.86"	"116838.45"	"2p6.5f"	"2F*"	"5/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
""	"760.332"	""	"1.11e+05"	"7.22e-04"	"-2.238"	D	"103689.92"	"116838.45"	"2p6.5f"	"2F*"	"7/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
"778.6500"	"778.6499"	"5"	"1.97e+05"	"3.59e-03"	"-2.144"	B+	"92790.51"	"105629.72"	"2p6.5s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	"L7414"	
"779.0978"	"779.0977"	"4"	"1.84e+05"	"1.68e-03"	"-2.474"	B+	"92790.51"	"105622.34"	"2p6.5s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"c31"	"L7414"	
""	"782.54"	""	"1.70e+05"	"1.04e-03"	"-2.205"	D	"103419.70"	"[116195.1]"	"2p6.5d"	"2D"	"5/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
""	"782.56"	""	"1.88e+04"	"1.73e-04"	"-3.160"	E	"103420.00"	"[116195.1]"	"2p6.5d"	"2D"	"3/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
""	"782.64"	""	"1.88e+05"	"8.64e-04"	"-2.461"	D	"103420.00"	"[116193.7]"	"2p6.5d"	"2D"	"3/2"	"2p6.10p"	"2P*"	"1/2"		"c59,LS"	""	
""	"787.705"	""	"4.67e-06"	"8.69e-14"	"-12.76"	B+	"80619.50"	"93311.11"	"2p6.4p"	"2P*"	"1/2"	"2p6.4d"	"2D"	"3/2"	M2	"c28"	""	
"787.7051"	"787.7054"	"12"	"6.58e+07"	"1.23e+00"	"0.391"	A+	"80619.50"	"93311.11"	"2p6.4p"	"2P*"	"1/2"	"2p6.4d"	"2D"	"3/2"		"c31,T6870,c23"	"L7414"	
""	"787.738"	""	"3.32e-05"	"9.27e-13"	"-11.73"	B+	"80619.50"	"93310.59"	"2p6.4p"	"2P*"	"1/2"	"2p6.4d"	"2D"	"5/2"	M2	"c28"	""	
""	"789.604"	""	"1.31e+07"	"1.23e-01"	"-0.308"	A	"80650.02"	"93311.11"	"2p6.4p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"3/2"		"c31,T6870,c23"	""	
""	"789.604"	""	"2.03e-13"	"1.90e-21"	"-20.12"	E	"80650.02"	"93311.11"	"2p6.4p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"3/2"	M2	"c28"	""	
"789.6368"	"789.6366"	"13"	"7.86e+07"	"1.10e+00"	"0.643"	A+	"80650.02"	"93310.59"	"2p6.4p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"5/2"		"c31,T6870,c23"	"L7414"	
""	"789.637"	""	"1.80e-04"	"2.53e-12"	"-10.99"	A	"80650.02"	"93310.59"	"2p6.4p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"5/2"	M2	"c28"	""	
""	"804.614"	""	"3.67e+06"	"4.75e-02"	"-0.545"	B+	"103419.70"	"115844.60"	"2p6.5d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"7/2"		"c31"	""	
