obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"415.175"	"0.002"	"415.15955"	"0.00003"	""	"4.78e+04"	"6.18e-05"	"-3.61"	B	"16973.36619"	"[41053.701]"	"2p6.3p"	"2P*"	"3/2"	"2p6.18s"	"2S"	"1/2"		"T7799"	"L9493"	
"415.740"	"0.002"	"415.74139"	"0.00003"	""	"1.71e+04"	"4.43e-05"	"-3.75"	B	"16973.36619"	"[41020.001]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16d"	"2D"	"3/2"		"T7799"	"L9493"	
"415.740"	"0.002"	"415.74140"	"0.00003"	""	"1.03e+05"	"4.01e-04"	"-2.79"	B	"16973.36619"	"[41020.000]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16d"	"2D"	"5/2"		"T7799"	"L9493"	
"416.057"	"0.002"	"416.06124"	"0.00003"	""	"5.76e+04"	"7.48e-05"	"-3.52"	B	"16973.36619"	"[41001.515]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17s"	"2S"	"1/2"		"T7799"	"L9493"	
"416.767"	"0.002"	"416.76796"	"0.00003"	""	"2.09e+04"	"5.45e-05"	"-3.66"	B	"16973.36619"	"[40960.771]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15d"	"2D"	"3/2"		"T7799"	"L9493"	
"416.767"	"0.002"	"416.76796"	"0.00003"	""	"1.25e+05"	"4.89e-04"	"-2.71"	B	"16973.36619"	"[40960.771]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15d"	"2D"	"5/2"		"T7799"	"L9493"	
"417.156"	"0.002"	"417.15909"	"0.00003"	""	"7.03e+04"	"9.18e-05"	"-3.44"	B	"16973.36619"	"[40938.281]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16s"	"2S"	"1/2"		"T7799"	"L9493"	
"417.67"	"0.02"	"417.667"	"0.014"	"82"	"3.5e+07"	"1.2e-01"	"-0.14"	D	"268513.9"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"418.022"	"0.002"	"418.02943"	"0.00003"	""	"2.58e+04"	"6.76e-05"	"-3.57"	B	"16973.36619"	"[40888.387]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14d"	"2D"	"3/2"		"T7799"	"L9493"	
"418.022"	"0.002"	"418.02944"	"0.00003"	""	"1.55e+05"	"6.09e-04"	"-2.61"	B	"16973.36619"	"[40888.386]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14d"	"2D"	"5/2"		"T7799"	"L9493"	
"418.509"	"0.002"	"418.51487"	"0.00004"	""	"8.70e+04"	"1.14e-04"	"-3.34"	B	"16973.36619"	"[40860.648]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15s"	"2S"	"1/2"		"T7799"	"L9493"	
"418.55"	"0.02"	"418.546"	"0.011"	"150"	"4.9e+07"	"1.3e-01"	"-0.11"	D	"268513.9"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"419.598"	"0.002"	"419.60405"	"0.00004"	""	"3.27e+04"	"8.64e-05"	"-3.46"	B	"16973.36619"	"[40798.644]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13d"	"2D"	"3/2"		"T7799"	"L9493"	
"419.598"	"0.002"	"419.60409"	"0.00004"	""	"1.96e+05"	"7.76e-04"	"-2.51"	B	"16973.36619"	"[40798.642]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13d"	"2D"	"5/2"		"T7799"	"L9493"	
"420.216"	"0.002"	"420.21714"	"0.00004"	""	"1.09e+05"	"1.44e-04"	"-3.24"	B	"16973.36619"	"[40763.884]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14s"	"2S"	"1/2"		"T7799"	"L9493"	
"420.49"	"0.02"	"420.486"	"0.012"	"46"	"2.5e+07"	"4.4e-02"	"-0.58"	D	"268513.9"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
