obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"405.477"	""	"2.72e+05"	"6.71e-04"	"-2.696"	C+	"99680.968"	"124336.3"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).3d"	"3S*"	"1"		"T5803"	""	
""	"405.479"	""	"4.56e+05"	"6.75e-04"	"-2.472"	B	"99681.049"	"124336.3"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).3d"	"3S*"	"1"		"T5803"	""	
""	"405.483"	""	"9.05e+04"	"6.70e-04"	"-3.174"	C	"99681.309"	"124336.3"	"2s2.2p3.(4S*).4p"	"3P"	"0"	"2s2.2p3.(2D*<3/2>).3d"	"3S*"	"1"		"T5803"	""	
""	"406.670"	""	"9.60e+04"	"2.38e-04"	"-3.146"	C	"99680.968"	"124264.0"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<5/2>).3d"	"3D*"	"1"		"T5803"	""	
""	"406.671"	""	"6.43e+03"	"9.57e-06"	"-4.320"	D	"99681.049"	"124264.0"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).3d"	"3D*"	"1"		"T5803"	""	
""	"406.675"	""	"1.28e+05"	"9.53e-04"	"-3.021"	C	"99681.309"	"124264.0"	"2s2.2p3.(4S*).4p"	"3P"	"0"	"2s2.2p3.(2D*<5/2>).3d"	"3D*"	"1"		"T5803"	""	
""	"406.774"	""	"1.74e+05"	"7.20e-04"	"-2.666"	C+	"99680.968"	"124257.7"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<5/2>).3d"	"3D*"	"2"		"T5803"	""	
""	"406.775"	""	"5.84e+04"	"1.45e-04"	"-3.140"	C	"99681.049"	"124257.7"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).3d"	"3D*"	"2"		"T5803"	""	
""	"406.951"	""	"2.35e+05"	"8.17e-04"	"-2.389"	C+	"99681.049"	"124247.1"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).3d"	"3D*"	"3"		"T5803"	""	
""	"421.7088"	""	"5.44e+05"	"4.84e-04"	"-2.838"	C	"99680.968"	"123387.339"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).3d"	"3P*"	"0"		"T5713LS"	""	
""	"422.2757"	""	"1.36e+05"	"3.64e-04"	"-2.962"	C	"99680.968"	"123355.512"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).3d"	"3P*"	"1"		"T5713LS"	""	
""	"422.2771"	""	"2.26e+05"	"3.63e-04"	"-2.741"	C	"99681.049"	"123355.512"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).3d"	"3P*"	"1"		"T5713LS"	""	
""	"422.2818"	""	"1.81e+05"	"1.45e-03"	"-2.838"	C	"99681.309"	"123355.512"	"2s2.2p3.(4S*).4p"	"3P"	"0"	"2s2.2p3.(2D*<3/2>).3d"	"3P*"	"1"		"T5713LS"	""	
""	"423.3260"	""	"1.35e+05"	"6.05e-04"	"-2.741"	C	"99680.968"	"123296.777"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).3d"	"3P*"	"2"		"T5713LS"	""	
"423.327"	"423.3274"	"80"	"4.04e+05"	"1.09e-03"	"-2.265"	C+	"99681.049"	"123296.777"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).3d"	"3P*"	"2"		"T5713LS"	"L3760"	
""	"436.8193"	""	"7.56e+05"	"7.21e-04"	"-2.665"	B	"76794.978"	"99681.309"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).4p"	"3P"	"0"		"T5803n,LS"	""	
""	"436.8242"	""	"7.59e+05"	"3.62e-03"	"-1.964"	B	"76794.978"	"99681.049"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).4p"	"3P"	"2"		"T5803n,LS"	""	
"436.825"	"436.8258"	"100"	"7.58e+05"	"2.17e-03"	"-2.186"	B	"76794.978"	"99680.968"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).4p"	"3P"	"1"		"T5803n,LS"	"L3760"	
