obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"634.710"	"634.711"	"1000"	"5.84e+07"	"7.05e-01"	"0.149"	B+	"65500.47"	"81251.32"	"3s2.4s"	"2S"	"1/2"	"3s2.4p"	"2P*"	"3/2"		"c22,T7222"	"L3541"	
"637.136"	"637.137"	"1000"	"6.80e+07"	"4.14e-01"	"-0.082"	C+	"65500.47"	"81191.34"	"3s2.4s"	"2S"	"1/2"	"3s2.4p"	"2P*"	"1/2"		"c22,T7222"	"L3541"	
"666.052"	"666.053"	"50w"	"3.64e+07"	"3.63e-01"	"0.162"	C+	"116978.38"	"131988.05"	"3s.3p.(3P*).4s"	"4P*"	"3/2"	"3s.3p.(3P*).4p"	"4D"	"5/2"		"T6527c4,LS"	"L3541"	
"666.500"	"666.503"	"15"	"2.16e+07"	"2.88e-01"	"-0.240"	C+	"116862.38"	"131861.93"	"3s.3p.(3P*).4s"	"4P*"	"1/2"	"3s.3p.(3P*).4p"	"4D"	"3/2"		"T6527c4,LS"	"L3541"	
"667.188"	"667.184"	"100"	"4.80e+07"	"4.27e-01"	"0.409"	B+	"117178.06"	"132162.29"	"3s.3p.(3P*).4s"	"4P*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"7/2"		"T6570"	"L3541"	
""	"667.957"	""	"1.24e+06"	"6.21e-03"	"-1.304"	D+	"103556.03"	"118522.93"	"3s2.4f"	"2F*"	"7/2"	"3s2.6d"	"2D"	"5/2"		"T6527c4,LS"	""	
""	"667.962"	""	"6.19e+04"	"4.14e-04"	"-2.605"	E	"103556.16"	"118522.93"	"3s2.4f"	"2F*"	"5/2"	"3s2.6d"	"2D"	"5/2"		"T6527c4,LS"	""	
""	"667.966"	""	"1.30e+06"	"5.80e-03"	"-1.458"	D+	"103556.16"	"118522.86"	"3s2.4f"	"2F*"	"5/2"	"3s2.6d"	"2D"	"3/2"		"T6527c4,LS"	""	
"669.938"	"669.94"	"20"	"4.20e+07"	"2.83e-01"	"-0.247"	B	"116862.38"	"131784.9"	"3s.3p.(3P*).4s"	"4P*"	"1/2"	"3s.3p.(3P*).4p"	"4D"	"1/2"		"T6570"	"L3541"	
""	"671.697"	""	"2.70e+07"	"1.83e-01"	"-0.135"	B	"116978.38"	"131861.93"	"3s.3p.(3P*).4s"	"4P*"	"3/2"	"3s.3p.(3P*).4p"	"4D"	"3/2"		"T6570"	""	
"675.028"	"675.034"	"20w"	"1.49e+07"	"1.02e-01"	"-0.213"	C+	"117178.06"	"131988.05"	"3s.3p.(3P*).4s"	"4P*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"5/2"		"T6527c4,LS"	"L3541"	
""	"675.19"	""	"8.31e+06"	"2.84e-02"	"-0.945"	C	"116978.38"	"131784.9"	"3s.3p.(3P*).4s"	"4P*"	"3/2"	"3s.3p.(3P*).4p"	"4D"	"1/2"		"T6527c4,LS"	""	
""	"680.831"	""	"2.44e+06"	"1.13e-02"	"-1.169"	D+	"117178.06"	"131861.93"	"3s.3p.(3P*).4s"	"4P*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"3/2"		"T6527c4,LS"	""	
"681.845"	"681.841"	"30"	"1.08e+07"	"1.51e-01"	"-0.520"	C	"103860.74"	"118522.86"	"3s2.5p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"		"T6527c4,LS"	"L3541"	
""	"682.980"	""	"1.30e+07"	"1.36e-01"	"-0.264"	C+	"103885.25"	"118522.93"	"3s2.5p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"		"T6527c4,LS"	""	
"682.982"	"682.983"	"50"	"2.16e+06"	"1.51e-02"	"-1.219"	D+	"103885.25"	"118522.86"	"3s2.5p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"		"T6527c4,LS"	"L3541"	
""	"711.342"	""	"5.38e+06"	"4.08e-02"	"-1.088"	E	"103860.74"	"117914.80"	"3s2.5p"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"		"T6527c4,LS"	""	
""	"712.585"	""	"1.07e+07"	"4.07e-02"	"-0.788"	D	"103885.25"	"117914.80"	"3s2.5p"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"		"T6527c4,LS"	""	
""	"721.586"	""	"6.20e+00"	"1.45e-07"	"-6.54"	B+	"65500.47"	"79355.02"	"3s2.4s"	"2S"	"1/2"	"3s2.3d"	"2D"	"5/2"	E2	"c22"	""	
""	"722.447"	""	"6.18e+00"	"9.68e-08"	"-6.71"	B+	"65500.47"	"79338.50"	"3s2.4s"	"2S"	"1/2"	"3s2.3d"	"2D"	"3/2"	E2	"c22"	""	
""	"771.770"	""	"2.10e+04"	"1.88e-04"	"-3.124"	E	"101023.05"	"113976.72"	"3s2.4d"	"2D"	"3/2"	"3s2.6p"	"2P*"	"3/2"		"T7166"	""	
""	"771.847"	""	"1.89e+05"	"1.12e-03"	"-2.173"	D+	"101024.35"	"113976.72"	"3s2.4d"	"2D"	"5/2"	"3s2.6p"	"2P*"	"3/2"		"T7166"	""	
""	"772.643"	""	"6.75e+04"	"3.02e-04"	"-2.918"	E	"101023.05"	"113962.08"	"3s2.4d"	"2D"	"3/2"	"3s2.6p"	"2P*"	"1/2"		"T6527c4,LS"	""	
"784.880"	"784.882"	"400"	"3.73e+07"	"5.17e-01"	"0.316"	B	"101023.05"	"113760.32"	"3s2.4d"	"2D"	"3/2"	"3s2.5f"	"2F*"	"5/2"		"T6527c4,LS"	"L3541"	
""	"784.962"	""	"2.66e+06"	"2.46e-02"	"-0.831"	C	"101024.35"	"113760.32"	"3s2.4d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"5/2"		"T6527c4,LS"	""	
"784.972"	"784.972"	"500"	"3.99e+07"	"4.92e-01"	"0.470"	B	"101024.35"	"113760.15"	"3s2.4d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"7/2"		"T6527c4,LS"	"L3541"	
""	"791.152"	""	"2.41e+05"	"2.26e-03"	"-1.743"	E	"113760.15"	"126396.47"	"3s2.5f"	"2F*"	"7/2"	"3s2.9g"	"2G"	"7/2"		"T6527c4,LS"	""	
""	"791.152"	""	"3.85e+06"	"4.52e-02"	"-0.442"	D	"113760.15"	"126396.47"	"3s2.5f"	"2F*"	"7/2"	"3s2.9g"	"2G"	"9/2"		"T6527c4,LS"	""	
""	"791.163"	""	"3.37e+06"	"4.22e-02"	"-0.597"	E	"113760.32"	"126396.47"	"3s2.5f"	"2F*"	"5/2"	"3s2.9g"	"2G"	"7/2"		"T6527c4,LS"	""	
""	"799.723"	""	"1.48e-02"	"4.26e-10"	"-9.07"	C+	"42824.29"	"55325.18"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2D"	"5/2"	E2	"c22"	""	
""	"800.737"	""	"1.49e-02"	"2.87e-10"	"-9.24"	C+	"42824.29"	"55309.35"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2D"	"3/2"	E2	"c22"	""	
""	"800.737"	""	"6.56e-04"	"1.26e-11"	"-10.60"	D	"42824.29"	"55309.35"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2D"	"3/2"	M1	"c22"	""	
""	"804.441"	""	"4.41e+06"	"6.42e-02"	"-0.590"	D+	"112394.56"	"124822.14"	"3s2.5d"	"2D"	"3/2"	"3s2.8f"	"2F*"	"5/2"		"T6527c4,LS"	""	
""	"804.451"	""	"3.15e+05"	"3.06e-03"	"-1.736"	E	"112394.72"	"124822.14"	"3s2.5d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"5/2"		"T6527c4,LS"	""	
""	"804.455"	""	"4.73e+06"	"6.12e-02"	"-0.435"	D+	"112394.72"	"124822.08"	"3s2.5d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"7/2"		"T6527c4,LS"	""	
""	"806.714"	""	"1.35e-03"	"1.98e-11"	"-10.10"	D	"42932.62"	"55325.18"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2D"	"5/2"	M1	"c22"	""	
""	"806.714"	""	"3.13e-05"	"4.58e-13"	"-11.74"	D+	"42932.62"	"55325.18"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2D"	"5/2"	E2	"c22"	""	
""	"807.746"	""	"2.52e+00"	"2.47e-08"	"-7.01"	C	"42932.62"	"55309.35"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2D"	"3/2"	M1	"c22"	""	
""	"807.746"	""	"8.18e-06"	"8.01e-14"	"-12.49"	D+	"42932.62"	"55309.35"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2D"	"3/2"	E2	"c22"	""	
""	"818.288"	""	"6.65e-03"	"6.68e-11"	"-9.40"	D+	"43107.91"	"55325.18"	"3s.3p2"	"4P"	"5/2"	"3s.3p2"	"2D"	"5/2"	M1	"c22"	""	
""	"818.288"	""	"1.98e-04"	"1.99e-12"	"-10.92"	C	"43107.91"	"55325.18"	"3s.3p2"	"4P"	"5/2"	"3s.3p2"	"2D"	"5/2"	E2	"c22"	""	
""	"819.350"	""	"8.35e-05"	"5.61e-13"	"-11.47"	C	"43107.91"	"55309.35"	"3s.3p2"	"4P"	"5/2"	"3s.3p2"	"2D"	"3/2"	E2	"c22"	""	
""	"819.350"	""	"7.52e-04"	"5.05e-12"	"-10.52"	D	"43107.91"	"55309.35"	"3s.3p2"	"4P"	"5/2"	"3s.3p2"	"2D"	"3/2"	M1	"c22"	""	
""	"893.550"	""	"3.73e+05"	"4.47e-03"	"-1.447"	E	"113760.15"	"124948.40"	"3s2.5f"	"2F*"	"7/2"	"3s2.8g"	"2G"	"7/2"		"T6527c4,LS"	""	
""	"893.550"	""	"5.97e+06"	"8.94e-02"	"-0.146"	C	"113760.15"	"124948.40"	"3s2.5f"	"2F*"	"7/2"	"3s2.8g"	"2G"	"9/2"		"T6527c4,LS"	""	
""	"893.563"	""	"5.22e+06"	"8.34e-02"	"-0.301"	D+	"113760.32"	"124948.40"	"3s2.5f"	"2F*"	"5/2"	"3s2.8g"	"2G"	"7/2"		"T6527c4,LS"	""	
